filename,date,audience,audience_label,title,slug,wordcount,image_count,tags,source_url
2026-09-23_paid_巴菲特退任，價投劃上句號？他的尺還量得動AI時代嗎？為何最後買Google？-深入分析第65期：巴菲特.pdf,2026-09-23,only_paid,💎 付費,巴菲特退任，價投劃上句號？他的尺還量得動AI時代嗎？為何最後買Google？ - 深入分析第65期：巴菲特,aigoogle-65,8087,0,每週深入分析,https://www.fomosoc.com/p/aigoogle-65
2026-09-19_free_升息等於大市要崩？重回-90-年代三大劇本，看懂歷史上的升息真相-KP思考筆記(第60期).pdf,2026-09-19,everyone,🆓 公開,升息等於大市要崩？重回 90 年代三大劇本，看懂歷史上的升息真相 - KP思考筆記(第60期),90-kp60,5394,0,思考筆記,https://www.fomosoc.com/p/90-kp60
2026-09-16_paid_Cybercab-發布、Waymo-擴張，Uber-時間已在倒數？-深入分析第64期：UBER.pdf,2026-09-16,only_paid,💎 付費,Cybercab 發布、Waymo 擴張，Uber 時間已在倒數？ - 深入分析第64期：UBER,cybercab-waymo-uber-64uber,8891,0,每週深入分析,https://www.fomosoc.com/p/cybercab-waymo-uber-64uber
2026-09-12_free_蘋果如何轉移成本？光模組市場要翻一倍？甲骨文挑戰Palantir？-KP思考筆記(第59期).pdf,2026-09-12,everyone,🆓 公開,蘋果如何轉移成本？光模組市場要翻一倍？甲骨文挑戰Palantir？- KP思考筆記(第59期),palantir-kp59,6776,0,思考筆記,https://www.fomosoc.com/p/palantir-kp59
2026-09-11_paid_OCI-暴增-121%-卻狂燒-54-億？到底是-AI-贏家還是仍然不太行？-財報解剖_-ORCL-_-26年9月.pdf,2026-09-11,only_paid,💎 付費,OCI 暴增 121% 卻狂燒 54 億？到底是 AI 贏家還是仍然不太行？- 財報解剖: ORCL | 26年9月,oci-121-54-ai-orcl-269,3166,0,財報解剖,https://www.fomosoc.com/p/oci-121-54-ai-orcl-269
2026-09-10_paid_光通訊雙雄買就對了？兩家究竟分別在哪？-深入分析第63期：LITE-VS-COHR.pdf,2026-09-10,only_paid,💎 付費,光通訊雙雄買就對了？兩家究竟分別在哪？ - 深入分析第63期：LITE VS COHR,63lite-vs-cohr,8221,0,每週深入分析,https://www.fomosoc.com/p/63lite-vs-cohr
2026-09-09_free_我離職了.pdf,2026-09-09,everyone,🆓 公開,我離職了,4ec,1345,0,,https://www.fomosoc.com/p/4ec
2026-09-05_free_非農爆表，要升息了？為何Nvidia-要投資聯發科？-KP思考筆記(第58期).pdf,2026-09-05,everyone,🆓 公開,非農爆表，要升息了？為何Nvidia 要投資聯發科？ - KP思考筆記(第58期),nvidia-kp58,6422,0,思考筆記,https://www.fomosoc.com/p/nvidia-kp58
2026-09-04_paid_博通營收大爆發，股價卻不動？成長代價是甚麼？-財報解剖_-AVGO-_-26年9月.pdf,2026-09-04,only_paid,💎 付費,博通營收大爆發，股價卻不動？成長代價是甚麼？- 財報解剖: AVGO | 26年9月,avgo-269,5534,0,財報解剖,https://www.fomosoc.com/p/avgo-269
2026-09-02_paid_人類終於能治癒癌症？mRNA是未來？AI改變生技股？-深入分析第62期：癌症疫苗價值鏈.pdf,2026-09-02,only_paid,💎 付費,人類終於能治癒癌症？mRNA是未來？AI改變生技股？ - 深入分析第62期：癌症疫苗價值鏈,mrnaai-62,8394,0,每週深入分析,https://www.fomosoc.com/p/mrnaai-62
2026-08-29_free_Warsh鷹派發言？NVIDIA收購Hugging-Face？Salesforce不被AI取代了？-KP思考筆記(第57期).pdf,2026-08-29,everyone,🆓 公開,Warsh鷹派發言？NVIDIA收購Hugging Face？Salesforce不被AI取代了？ - KP思考筆記(第57期),warshnvidiahugging-facesalesforceai,5975,0,思考筆記,https://www.fomosoc.com/p/warshnvidiahugging-facesalesforceai
